Winner,MatchID,Team1,Team2,Margin,Year
South Africa,230,England,South Africa,80 runs,2012
Australia,231,Australia,Pakistan,4 wickets,2012
England,232,England,South Africa,4 wickets,2012
Pakistan,233,Australia,Pakistan,7 wickets,2012
England,234,England,South Africa,6 wickets,2012
Australia,235,Australia,Pakistan,3 wickets,2012
South Africa,236,England,South Africa,7 wickets,2012
Sri Lanka,237,Sri Lanka,New Zealand,14 runs,2012
Sri Lanka,238,Sri Lanka,New Zealand,7 wickets,2012
Sri Lanka,239,Sri Lanka,New Zealand,7 wickets,2012
Bangladesh,240,Bangladesh,West Indies,7 wickets,2012
Bangladesh,241,Bangladesh,West Indies,160 runs,2012
West Indies,242,Bangladesh,West Indies,4 wickets,2012
West Indies,243,Bangladesh,West Indies,75 runs,2012
Bangladesh,244,Bangladesh,West Indies,2 wickets,2012
Pakistan,245,India,Pakistan,6 wickets,2012
Pakistan,246,India,Pakistan,85 runs,2013
India,247,India,Pakistan,10 runs,2013
Australia,248,Australia,Sri Lanka,107 runs,2013
England,249,India,England,9 runs,2013
Sri Lanka,250,Australia,Sri Lanka,8 wickets,2013
India,251,India,England,127 runs,2013
Sri Lanka,252,Australia,Sri Lanka,4 wickets,2013
India,253,India,England,7 wickets,2013
New Zealand,254,South Africa,New Zealand,1 wicket,2013
New Zealand,255,South Africa,New Zealand,27 runs,2013
Australia,256,Australia,Sri Lanka,32 runs,2013
India,257,India,England,5 wickets,2013
South Africa,258,South Africa,New Zealand,1 wicket,2013
England,259,India,England,7 wickets,2013
Australia,260,Australia,West Indies,9 wickets,2013
Australia,261,Australia,West Indies,54 runs,2013
Australia,262,Australia,West Indies,39 runs,2013
Australia,263,Australia,West Indies,5 wickets,2013
Australia,264,Australia,West Indies,17 runs,2013
New Zealand,265,New Zealand,England,3 wickets,2013
England,266,New Zealand,England,8 wickets,2013
England,267,New Zealand,England,5 wickets,2013
South Africa,268,South Africa,Pakistan,125 runs,2013
Pakistan,269,South Africa,Pakistan,6 wickets,2013
South Africa,270,South Africa,Pakistan,34 runs,2013
Pakistan,271,South Africa,Pakistan,3 wickets,2013
Sri Lanka,272,Sri Lanka,Bangladesh,8 wickets,2013
South Africa,273,South Africa,Pakistan,6 wickets,2013
Bangladesh,274,Sri Lanka,Bangladesh,3 wickets,2013
New Zealand,275,England,New Zealand,5 wickets,2013
New Zealand,276,England,New Zealand,86 runs,2013
England,277,England,New Zealand,34 runs,2013
India,278,India,South Africa,26 runs,2013
West Indies,279,Pakistan,West Indies,2 wickets,2013
England,280,England,Australia,48 runs,2013
New Zealand,281,New Zealand,Sri Lanka,1 wicket,2013
South Africa,282,Pakistan,South Africa,67 runs,2013
India,283,India,West Indies,8 wickets,2013
Sri Lanka,284,England,Sri Lanka,7 wickets,2013
India,285,India,Pakistan,8 wickets,2013
England,286,England,New Zealand,10 runs,2013
Sri Lanka,287,Australia,Sri Lanka,20 runs,2013
England,288,England,South Africa,7 wickets,2013
India,289,India,Sri Lanka,8 wickets,2013
India,290,England,India,5 runs,2013
West Indies,291,West Indies,Sri Lanka,6 wickets,2013
West Indies,292,West Indies,India,1 wicket,2013
Sri Lanka,293,India,Sri Lanka,161 runs,2013
India,294,West Indies,India,102 runs,2013
Sri Lanka,295,West Indies,Sri Lanka,39 runs,2013
India,296,India,Sri Lanka,81 runs,2013
India,297,India,Sri Lanka,1 wicket,2013
Pakistan,298,West Indies,Pakistan,126 runs,2013
West Indies,299,West Indies,Pakistan,37 runs,2013
Sri Lanka,300,Sri Lanka,South Africa,180 runs,2013
Pakistan,301,West Indies,Pakistan,6 wickets,2013
Sri Lanka,302,Sri Lanka,South Africa,17 runs,2013
Pakistan,303,West Indies,Pakistan,4 wickets,2013
South Africa,304,Sri Lanka,South Africa,56 runs,2013
Sri Lanka,305,Sri Lanka,South Africa,8 wickets,2013
Sri Lanka,306,Sri Lanka,South Africa,128 runs,2013
Australia,307,England,Australia,88 runs,2013
England,308,England,Australia,3 wickets,2013
Australia,309,England,Australia,49 runs,2013
Australia,310,India,Australia,72 runs,2013
India,311,India,Australia,9 wickets,2013
Australia,312,India,Australia,4 wickets,2013
Bangladesh,313,Bangladesh,New Zealand,43 runs,2013
India,314,India,Australia,6 wickets,2013
South Africa,315,Pakistan,South Africa,1 run,2013
Bangladesh,316,Bangladesh,New Zealand,40 runs,2013
Pakistan,317,Pakistan,South Africa,66 runs,2013
