,Winner,MatchID,Team1,Team2,Year,WinRateVsTeam,T1WinRate,T2WinRate,MatchCt2,TotInnings2,NotOuts2,MaxInnScore2,BatAvg2,BatStrRate2,Stumpings2,Run/Inning2,BallsFaced/Inning2,Hundreds2,Fifties2,4/Inning2,6/Inning2,Catch/Inning2,BowlInns2,BowlAvg2,EconRate2,BowlStrRate2,BallBowl/Inning2,RunConc/Inning2,WickTake/Inning2,MatchCt1,TotInnings1,NotOuts1,MaxInnScore1,BatAvg1,BatStrRate1,Stumpings1,Run/Inning1,BallsFaced/Inning1,Hundreds1,Fifties1,4/Inning1,6/Inning1,Catch/Inning1,BowlInns1,BowlAvg1,EconRate1,BowlStrRate1,BallBowl/Inning1,RunConc/Inning1,WickTake/Inning1
20,1,20,South Africa,India,2010,0.0,0.0,0.67,1573,110.0,23.1,128.8,40.327,91.667,12.7,324.72040510000005,356.84808250000003,0.584724017,1.519687664,29.455556,6.409462448999999,6.5992636860000005,59.11111111,37.17555556,5.11,42.77777778,411.3726391,347.58216219999997,11.74699195,1143,101.7142857,15.85714286,138.71428569999998,48.00142857,88.97,1.142857143,258.1478865,293.82084189999995,0.44593466299999995,1.543091849,23.53281247,3.859680402,4.598363514,57.11111111,28.64,5.077777778,33.61111111,413.5279988,348.3160857,13.1224261
21,0,21,South Africa,India,2010,0.0,0.0,0.71,1573,110.0,23.1,128.8,40.327,91.667,12.7,324.72040510000005,356.84808250000003,0.584724017,1.519687664,29.455556,6.409462448999999,6.5992636860000005,59.11111111,37.17555556,5.11,42.77777778,411.3726391,347.58216219999997,11.74699195,1143,101.7142857,15.85714286,138.71428569999998,48.00142857,88.97,1.142857143,258.1478865,293.82084189999995,0.44593466299999995,1.543091849,23.53281247,3.859680402,4.598363514,57.11111111,28.64,5.077777778,33.61111111,413.5279988,348.3160857,13.1224261
22,0,22,England,Bangladesh,2010,0.5,0.5,0.0,1343,82.18181818,12.09090909,102.3636364,31.04181818,81.05181818,4.090909091,286.6952818,355.42432460000003,0.247251626,1.731381552,27.16384747,4.703702853,4.966758145,89.75,33.1775,5.1075,39.55,377.2966166,321.1411027,10.68003244,1234,75.0,11.09090909,114.6363636,34.09818182,91.85818182,2.8181818180000002,324.46461139999997,348.95982710000004,0.6466302389999999,1.677090494,31.03043698,7.153609707,5.975101276,61.5,38.58625,5.93,39.275,366.6842396,358.62314510000004,9.681132909
23,0,23,England,Bangladesh,2010,1.0,1.0,0.0,1343,82.18181818,12.09090909,102.3636364,31.04181818,81.05181818,4.090909091,286.6952818,355.42432460000003,0.247251626,1.731381552,27.16384747,4.703702853,4.966758145,89.75,33.1775,5.1075,39.55,377.2966166,321.1411027,10.68003244,1234,75.0,11.09090909,114.6363636,34.09818182,91.85818182,2.8181818180000002,324.46461139999997,348.95982710000004,0.6466302389999999,1.677090494,31.03043698,7.153609707,5.975101276,61.5,38.58625,5.93,39.275,366.6842396,358.62314510000004,9.681132909
24,1,24,Australia,New Zealand,2010,0.5,1.0,1.0,1157,86.22222222,13.0,125.1111111,35.52,92.47222222,0.7777777779999999,264.3940013,295.0614978,0.353888414,1.455966352,23.52713587,5.528132681000001,4.456427532,55.25,33.105,5.42625,36.8,378.7612403,341.11830560000004,10.9069282,814,67.625,5.25,131.75,39.115,91.815,0.375,283.6594256,315.17229610000004,0.553567134,1.5766912730000002,26.57881538,5.116815544,4.135243238,39.375,33.33375,5.34875,37.45,402.16451960000006,358.05954160000005,11.63077312
25,0,25,England,Bangladesh,2010,1.0,1.0,0.0,1343,82.18181818,12.09090909,102.3636364,31.04181818,81.05181818,4.090909091,286.6952818,355.42432460000003,0.247251626,1.731381552,27.16384747,4.703702853,4.966758145,89.75,33.1775,5.1075,39.55,377.2966166,321.1411027,10.68003244,1234,75.0,11.09090909,114.6363636,34.09818182,91.85818182,2.8181818180000002,324.46461139999997,348.95982710000004,0.6466302389999999,1.677090494,31.03043698,7.153609707,5.975101276,61.5,38.58625,5.93,39.275,366.6842396,358.62314510000004,9.681132909
26,0,26,Australia,New Zealand,2010,0.0,0.9,1.0,1157,86.22222222,13.0,125.1111111,35.52,92.47222222,0.7777777779999999,264.3940013,295.0614978,0.353888414,1.455966352,23.52713587,5.528132681000001,4.456427532,55.25,33.105,5.42625,36.8,378.7612403,341.11830560000004,10.9069282,814,67.625,5.25,131.75,39.115,91.815,0.375,283.6594256,315.17229610000004,0.553567134,1.5766912730000002,26.57881538,5.116815544,4.135243238,39.375,33.33375,5.34875,37.45,402.16451960000006,358.05954160000005,11.63077312
27,0,27,Australia,New Zealand,2010,0.5,0.91,0.8,1157,86.22222222,13.0,125.1111111,35.52,92.47222222,0.7777777779999999,264.3940013,295.0614978,0.353888414,1.455966352,23.52713587,5.528132681000001,4.456427532,55.25,33.105,5.42625,36.8,378.7612403,341.11830560000004,10.9069282,814,67.625,5.25,131.75,39.115,91.815,0.375,283.6594256,315.17229610000004,0.553567134,1.5766912730000002,26.57881538,5.116815544,4.135243238,39.375,33.33375,5.34875,37.45,402.16451960000006,358.05954160000005,11.63077312
28,0,28,Australia,New Zealand,2010,0.6699999999999999,0.92,0.67,1157,86.22222222,13.0,125.1111111,35.52,92.47222222,0.7777777779999999,264.3940013,295.0614978,0.353888414,1.455966352,23.52713587,5.528132681000001,4.456427532,55.25,33.105,5.42625,36.8,378.7612403,341.11830560000004,10.9069282,814,67.625,5.25,131.75,39.115,91.815,0.375,283.6594256,315.17229610000004,0.553567134,1.5766912730000002,26.57881538,5.116815544,4.135243238,39.375,33.33375,5.34875,37.45,402.16451960000006,358.05954160000005,11.63077312
29,1,29,Australia,New Zealand,2010,0.75,0.92,0.57,1157,86.22222222,13.0,125.1111111,35.52,92.47222222,0.7777777779999999,264.3940013,295.0614978,0.353888414,1.455966352,23.52713587,5.528132681000001,4.456427532,55.25,33.105,5.42625,36.8,378.7612403,341.11830560000004,10.9069282,814,67.625,5.25,131.75,39.115,91.815,0.375,283.6594256,315.17229610000004,0.553567134,1.5766912730000002,26.57881538,5.116815544,4.135243238,39.375,33.33375,5.34875,37.45,402.16451960000006,358.05954160000005,11.63077312
